  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2402                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.011 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.5080   0.07698   0.06275   0.0350   1.0000   0.5928
  -4.500  -0.4845   0.07102   0.05684   0.0223   1.0000   0.5311
  -4.000  -0.4353   0.06385   0.04936   0.0053   1.0000   0.4749
  -3.500  -0.3592   0.05589   0.04057  -0.0132   1.0000   0.4306
  -3.000  -0.2705   0.04836   0.03180  -0.0286   1.0000   0.4073
  -2.500  -0.1895   0.04207   0.02441  -0.0370   1.0000   0.4206
  -2.000  -0.1259   0.03653   0.01874  -0.0384   1.0000   0.4952
  -0.500   0.0942   0.02867   0.00463  -0.0408   1.0000   1.0000
   0.000   0.1446   0.02873   0.00356  -0.0398   1.0000   1.0000
   0.500   0.1938   0.02890   0.00318  -0.0389   1.0000   1.0000
   1.000   0.2418   0.02918   0.00343  -0.0379   1.0000   1.0000
   1.500   0.2888   0.02956   0.00424  -0.0370   1.0000   1.0000
   2.000   0.3347   0.03007   0.00555  -0.0360   1.0000   1.0000
   2.500   0.3794   0.03072   0.00718  -0.0351   1.0000   1.0000
   3.000   0.4235   0.03158   0.00962  -0.0341   1.0000   1.0000
   3.500   0.4676   0.03265   0.01294  -0.0328   1.0000   1.0000
   4.000   0.5201   0.03380   0.01785  -0.0306   1.0000   1.0000
   4.500   0.7091   0.04896   0.03262  -0.0404   0.3910   1.0000
   5.000   0.7680   0.05833   0.04304  -0.0449   0.3710   1.0000
   5.500   0.8112   0.06891   0.05459  -0.0530   0.3749   1.0000
   6.000   0.8364   0.07982   0.06599  -0.0619   0.3869   1.0000
   6.500   0.8500   0.09064   0.07694  -0.0707   0.4046   1.0000
   7.000   0.8516   0.10082   0.08706  -0.0795   0.4291   1.0000
   7.500   0.8530   0.11073   0.09686  -0.0872   0.4604   1.0000
   8.000   0.8400   0.11896   0.10484  -0.0940   0.5034   1.0000
   8.500   0.8295   0.12702   0.11271  -0.1013   0.5675   1.0000
   9.000   0.8049   0.13282   0.11831  -0.1081   0.6735   1.0000
   9.500   0.7453   0.13248   0.11762  -0.1085   0.8702   1.0000
  10.000   0.6838   0.12892   0.11364  -0.0947   1.0000   1.0000
  10.500   0.7006   0.13713   0.12187  -0.0977   1.0000   1.0000
  11.000   0.7177   0.14537   0.13012  -0.1008   1.0000   1.0000
  11.500   0.7350   0.15361   0.13838  -0.1039   1.0000   1.0000
  12.000   0.7527   0.16184   0.14662  -0.1071   1.0000   1.0000
