  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2410                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     5.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.000  -0.2105   0.00580   0.00122  -0.0522   0.7740   0.0387
  -3.000  -0.0975   0.00557   0.00092  -0.0523   0.7073   0.0639
  -2.000   0.0154   0.00538   0.00071  -0.0524   0.6355   0.1148
  -1.000   0.1284   0.00520   0.00059  -0.0527   0.5655   0.1993
   0.000   0.2414   0.00509   0.00058  -0.0530   0.4994   0.3100
   1.000   0.3538   0.00487   0.00064  -0.0532   0.4415   0.4897
   2.000   0.4651   0.00478   0.00081  -0.0533   0.3727   0.6866
   3.000   0.5727   0.00499   0.00115  -0.0526   0.2712   0.8802
   4.000   0.6777   0.00569   0.00164  -0.0511   0.1602   0.9901
   5.000   0.7941   0.00672   0.00225  -0.0526   0.0726   1.0000
   6.000   0.9000   0.00757   0.00288  -0.0516   0.0378   1.0000
   7.000   1.0064   0.00840   0.00359  -0.0508   0.0221   1.0000
   8.000   1.1121   0.00925   0.00437  -0.0500   0.0159   1.0000
  -4.000  -0.2105   0.00580   0.00122  -0.0522   0.7740   0.0387
  -3.000  -0.0975   0.00557   0.00092  -0.0523   0.7073   0.0639
  -2.000   0.0154   0.00538   0.00071  -0.0524   0.6355   0.1148
  -1.000   0.1284   0.00520   0.00059  -0.0527   0.5655   0.1993
   0.000   0.2414   0.00509   0.00058  -0.0530   0.4994   0.3100
   1.000   0.3538   0.00487   0.00064  -0.0532   0.4415   0.4897
   2.000   0.4651   0.00478   0.00081  -0.0533   0.3727   0.6866
   3.000   0.5727   0.00499   0.00115  -0.0526   0.2712   0.8802
   4.000   0.6777   0.00569   0.00164  -0.0511   0.1602   0.9901
   5.000   0.7941   0.00672   0.00225  -0.0526   0.0726   1.0000
   6.000   0.9000   0.00757   0.00288  -0.0516   0.0378   1.0000
   7.000   1.0064   0.00840   0.00359  -0.0508   0.0221   1.0000
   8.000   1.1121   0.00925   0.00437  -0.0500   0.0159   1.0000
  -4.000  -0.2105   0.00580   0.00122  -0.0522   0.7740   0.0387
  -3.000  -0.0975   0.00557   0.00092  -0.0523   0.7073   0.0639
  -2.000   0.0154   0.00538   0.00071  -0.0524   0.6355   0.1148
  -1.000   0.1284   0.00520   0.00059  -0.0527   0.5655   0.1993
   0.000   0.2414   0.00509   0.00058  -0.0530   0.4994   0.3100
   1.000   0.3538   0.00487   0.00064  -0.0532   0.4415   0.4897
   2.000   0.4651   0.00478   0.00081  -0.0533   0.3727   0.6866
   3.000   0.5727   0.00499   0.00115  -0.0526   0.2712   0.8802
   4.000   0.6777   0.00569   0.00164  -0.0511   0.1602   0.9901
   5.000   0.7941   0.00672   0.00225  -0.0526   0.0726   1.0000
   6.000   0.9000   0.00757   0.00288  -0.0516   0.0378   1.0000
   7.000   1.0064   0.00840   0.00359  -0.0508   0.0221   1.0000
   8.000   1.1121   0.00925   0.00437  -0.0500   0.0159   1.0000
  -4.000  -0.2105   0.00580   0.00122  -0.0522   0.7740   0.0387
  -3.000  -0.0975   0.00557   0.00092  -0.0523   0.7073   0.0639
  -2.000   0.0154   0.00538   0.00071  -0.0524   0.6355   0.1148
  -1.000   0.1284   0.00520   0.00059  -0.0527   0.5655   0.1993
   0.000   0.2414   0.00509   0.00058  -0.0530   0.4994   0.3100
   1.000   0.3538   0.00487   0.00064  -0.0532   0.4415   0.4897
   2.000   0.4651   0.00478   0.00081  -0.0533   0.3727   0.6866
   3.000   0.5727   0.00499   0.00115  -0.0526   0.2712   0.8802
   4.000   0.6777   0.00569   0.00164  -0.0511   0.1602   0.9901
   5.000   0.7941   0.00672   0.00225  -0.0526   0.0726   1.0000
   6.000   0.9000   0.00757   0.00288  -0.0516   0.0378   1.0000
   7.000   1.0064   0.00840   0.00359  -0.0508   0.0221   1.0000
   8.000   1.1121   0.00925   0.00437  -0.0500   0.0159   1.0000
  -4.000  -0.2105   0.00580   0.00122  -0.0522   0.7740   0.0387
  -3.000  -0.0975   0.00557   0.00092  -0.0523   0.7073   0.0639
  -2.000   0.0154   0.00538   0.00071  -0.0524   0.6355   0.1148
  -1.000   0.1284   0.00520   0.00059  -0.0527   0.5655   0.1993
   0.000   0.2414   0.00509   0.00058  -0.0530   0.4994   0.3100
   1.000   0.3538   0.00487   0.00064  -0.0532   0.4415   0.4897
   2.000   0.4651   0.00478   0.00081  -0.0533   0.3727   0.6866
   3.000   0.5727   0.00499   0.00115  -0.0526   0.2712   0.8802
   4.000   0.6777   0.00569   0.00164  -0.0511   0.1602   0.9901
   5.000   0.7941   0.00672   0.00225  -0.0526   0.0726   1.0000
   6.000   0.9000   0.00757   0.00288  -0.0516   0.0378   1.0000
   7.000   1.0064   0.00840   0.00359  -0.0508   0.0221   1.0000
   8.000   1.1121   0.00925   0.00437  -0.0500   0.0159   1.0000
  -4.000  -0.2105   0.00580   0.00122  -0.0522   0.7740   0.0387
  -3.000  -0.0975   0.00557   0.00092  -0.0523   0.7073   0.0639
  -2.000   0.0154   0.00538   0.00071  -0.0524   0.6355   0.1148
  -1.000   0.1284   0.00520   0.00059  -0.0527   0.5655   0.1993
   0.000   0.2414   0.00509   0.00058  -0.0530   0.4994   0.3100
   1.000   0.3538   0.00487   0.00064  -0.0532   0.4415   0.4897
   2.000   0.4651   0.00478   0.00081  -0.0533   0.3727   0.6866
   3.000   0.5727   0.00499   0.00115  -0.0526   0.2712   0.8802
   4.000   0.6777   0.00569   0.00164  -0.0511   0.1602   0.9901
   5.000   0.7941   0.00672   0.00225  -0.0526   0.0726   1.0000
   6.000   0.9000   0.00757   0.00288  -0.0516   0.0378   1.0000
   7.000   1.0064   0.00840   0.00359  -0.0508   0.0221   1.0000
   8.000   1.1121   0.00925   0.00437  -0.0500   0.0159   1.0000
  -4.000  -0.2105   0.00580   0.00122  -0.0522   0.7740   0.0387
  -3.000  -0.0975   0.00557   0.00092  -0.0523   0.7073   0.0639
  -2.000   0.0154   0.00538   0.00071  -0.0524   0.6355   0.1148
  -1.000   0.1284   0.00520   0.00059  -0.0527   0.5655   0.1993
   0.000   0.2414   0.00509   0.00058  -0.0530   0.4994   0.3100
   1.000   0.3538   0.00487   0.00064  -0.0532   0.4415   0.4897
   2.000   0.4651   0.00478   0.00081  -0.0533   0.3727   0.6866
   3.000   0.5727   0.00499   0.00115  -0.0526   0.2712   0.8802
   4.000   0.6777   0.00569   0.00164  -0.0511   0.1602   0.9901
   5.000   0.7941   0.00672   0.00225  -0.0526   0.0726   1.0000
   6.000   0.9000   0.00757   0.00288  -0.0516   0.0378   1.0000
   7.000   1.0064   0.00840   0.00359  -0.0508   0.0221   1.0000
   8.000   1.1121   0.00925   0.00437  -0.0500   0.0159   1.0000
  -4.000  -0.2105   0.00580   0.00122  -0.0522   0.7740   0.0387
  -3.000  -0.0975   0.00557   0.00092  -0.0523   0.7073   0.0639
  -2.000   0.0154   0.00538   0.00071  -0.0524   0.6355   0.1148
  -1.000   0.1284   0.00520   0.00059  -0.0527   0.5655   0.1993
   0.000   0.2414   0.00509   0.00058  -0.0530   0.4994   0.3100
   1.000   0.3538   0.00487   0.00064  -0.0532   0.4415   0.4897
   2.000   0.4651   0.00478   0.00081  -0.0533   0.3727   0.6866
   3.000   0.5727   0.00499   0.00115  -0.0526   0.2712   0.8802
   4.000   0.6777   0.00569   0.00164  -0.0511   0.1602   0.9901
   5.000   0.7941   0.00672   0.00225  -0.0526   0.0726   1.0000
   6.000   0.9000   0.00757   0.00288  -0.0516   0.0378   1.0000
   7.000   1.0064   0.00840   0.00359  -0.0508   0.0221   1.0000
   8.000   1.1121   0.00925   0.00437  -0.0500   0.0159   1.0000
  -4.000  -0.2105   0.00580   0.00122  -0.0522   0.7740   0.0387
  -3.000  -0.0975   0.00557   0.00092  -0.0523   0.7073   0.0639
  -2.000   0.0154   0.00538   0.00071  -0.0524   0.6355   0.1148
  -1.000   0.1284   0.00520   0.00059  -0.0527   0.5655   0.1993
   0.000   0.2414   0.00509   0.00058  -0.0530   0.4994   0.3100
   1.000   0.3538   0.00487   0.00064  -0.0532   0.4415   0.4897
   2.000   0.4651   0.00478   0.00081  -0.0533   0.3727   0.6866
   3.000   0.5727   0.00499   0.00115  -0.0526   0.2712   0.8802
   4.000   0.6777   0.00569   0.00164  -0.0511   0.1602   0.9901
   5.000   0.7941   0.00672   0.00225  -0.0526   0.0726   1.0000
   6.000   0.9000   0.00757   0.00288  -0.0516   0.0378   1.0000
   7.000   1.0064   0.00840   0.00359  -0.0508   0.0221   1.0000
   8.000   1.1121   0.00925   0.00437  -0.0500   0.0159   1.0000
  -4.000  -0.2105   0.00580   0.00122  -0.0522   0.7740   0.0387
  -3.000  -0.0975   0.00557   0.00092  -0.0523   0.7073   0.0639
  -2.000   0.0154   0.00538   0.00071  -0.0524   0.6355   0.1148
  -1.000   0.1284   0.00520   0.00059  -0.0527   0.5655   0.1993
   0.000   0.2414   0.00509   0.00058  -0.0530   0.4994   0.3100
   1.000   0.3538   0.00487   0.00064  -0.0532   0.4415   0.4897
   2.000   0.4651   0.00478   0.00081  -0.0533   0.3727   0.6866
   3.000   0.5727   0.00499   0.00115  -0.0526   0.2712   0.8802
   4.000   0.6777   0.00569   0.00164  -0.0511   0.1602   0.9901
   5.000   0.7941   0.00672   0.00225  -0.0526   0.0726   1.0000
   6.000   0.9000   0.00757   0.00288  -0.0516   0.0378   1.0000
   7.000   1.0064   0.00840   0.00359  -0.0508   0.0221   1.0000
   8.000   1.1121   0.00925   0.00437  -0.0500   0.0159   1.0000
  -4.000  -0.2105   0.00580   0.00122  -0.0522   0.7740   0.0387
  -3.000  -0.0975   0.00557   0.00092  -0.0523   0.7073   0.0639
  -2.000   0.0154   0.00538   0.00071  -0.0524   0.6355   0.1148
  -1.000   0.1284   0.00520   0.00059  -0.0527   0.5655   0.1993
   0.000   0.2414   0.00509   0.00058  -0.0530   0.4994   0.3100
